schema:award,schema:countryOfOrigin,schema:sourceOrganization,schema:coursePrerequisites,schema:citation,schema:courseCode,schema:copyrightNotice,schema:discussionUrl,schema:license,schema:associatedMedia,schema:additionalType,schema:availableLanguage,schema:mainEntityOfPage,schema:accessibilitySummary,schema:educationalCredentialAwarded,schema:awards,schema:fileFormat,schema:totalHistoricalEnrollment,schema:acquireLicensePage,schema:name,schema:contentReferenceTime,schema:text,schema:financialAidEligible,dcterms:identifier,schema:position,schema:creator,schema:creditText,schema:teaches,schema:schemaVersion,schema:maintainer,schema:encoding,schema:isBasedOnUrl,schema:owner,schema:pattern,schema:video,schema:audio,schema:dateCreated,schema:publication,schema:translator,schema:learningResourceType,schema:sdPublisher,schema:offers,schema:material,schema:funder,schema:thumbnail,schema:contentLocation,schema:about,schema:contributor,schema:workTranslation,schema:comment,schema:headline,schema:spatial,schema:sdLicense,schema:copyrightYear,schema:numberOfCredits,schema:educationalLevel,schema:creativeWorkStatus,schema:sponsor,schema:author,schema:translationOfWork,schema:commentCount,schema:audience,schema:datePublished,schema:temporalCoverage,schema:mainEntity,schema:subjectOf,schema:materialExtent,schema:releasedEvent,schema:timeRequired,schema:inLanguage,schema:assesses,schema:temporal,schema:encodingFormat,schema:hasCourseInstance,schema:producer,schema:editEIDR,schema:character,schema:alternativeHeadline,schema:mentions,schema:syllabusSections,schema:publisher,schema:conditionsOfAccess,schema:educationalAlignment,schema:educationalUse,schema:interpretedAsClaim,schema:accessModeSufficient,schema:digitalSourceType,schema:version,schema:priceCurrency,schema:contentRating,schema:genre,schema:recordedAt,schema:url,schema:isBasedOn,schema:accessibilityAPI,schema:archivedAt,schema:publishingPrinciples,schema:interactionStatistic,schema:copyrightHolder,schema:thumbnailUrl,schema:hasPart,schema:reviews,schema:encodings,schema:typicalAgeRange,schema:image,schema:isFamilyFriendly,schema:description,schema:price,schema:isPartOf,schema:abstract,schema:keywords,schema:disambiguatingDescription,schema:workExample,schema:correction,schema:usageInfo,schema:expires,schema:displayLocation,schema:locationCreated,schema:accessibilityFeature,schema:provider,schema:accountablePerson,schema:sdDatePublished,schema:accessMode,schema:wordCount,schema:funding,schema:sameAs,schema:size,schema:exampleOfWork,schema:accessibilityHazard,schema:dateModified,schema:accessibilityControl,schema:interactivityType,schema:isAccessibleForFree,schema:potentialAction,schema:publisherImprint,schema:alternateName,schema:occupationalCredentialAwarded,schema:review,schema:editor,schema:aggregateRating,schema:offers_url,schema:spatialCoverage
,,,,,,,,,,,,,,,,,,,Cajero de tienda de autoservicio,,,,,,,,,,,,,,,,,,,,,,,,,,,Comercio,,,,,,,,,Beginner,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,USD,,,,https://aprende.org/cursos/view/63,,,,,,,,,,,,https://fsvc.capacitateparaelempleo.org/CapacitateFS/coursesImages/63b67eb7-662d-4a25-855e-9b4dc998edb0.png,,"¡Bienvenido! 
 Conoce las prácticas y herramientas que te permitirán dar una buena imagen y brindar una servicio de calidad a los clientes, al desempeñarte como cajero de tienda de autoservicio. 
 ¡Éxito en tu capacitación!",0.0,,,,,,,,,,,,Aprende,,,,,,,,,,,,,True,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Embalado,,,,,,,,,,,,,,,,,,,,,,,,,,,Comercio,,,,,,,,,Beginner,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,USD,,,,https://aprende.org/cursos/view/106,,,,,,,,,,,,https://fsvc.capacitateparaelempleo.org/CapacitateFS/coursesImages/6931ec77-fcf6-4f19-8370-84c312bac79c.png,,"Asegura la integridad de tus productos al transportarlos o enviarlos, embalándolos adecuadamente; de esta forma, lograrás que lleguen en buen estado a su destino.",0.0,,,,,,,,,,,,Aprende,,,,,,,,,,,,,True,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Empaquetado,,,,,,,,,,,,,,,,,,,,,,,,,,,Comercio,,,,,,,,,Beginner,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,USD,,,,https://aprende.org/cursos/view/107,,,,,,,,,,,,https://fsvc.capacitateparaelempleo.org/CapacitateFS/coursesImages/5c046b43-73f2-4869-a28a-e8be89a5ca56.png,,Empaca tus productos para facilitar su manipulación y agrégales impacto visual para que tus consumidores los identifiquen fácilmente.,0.0,,,,,,,,,,,,Aprende,,,,,,,,,,,,,True,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Negocios móviles,,,,,,,,,,,,,,,,,,,,,,,,,,,Comercio,,,,,,,,,Beginner,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,USD,,,,https://aprende.org/cursos/view/118,,,,,,,,,,,,https://fsvc.capacitateparaelempleo.org/CapacitateFS/coursesImages/66afed8f-eb9f-4a2b-b692-158e7afd6f73.png,,Profesionaliza tus labores en tu negocio móvil para convertirlo en un negocio exitoso.,0.0,,,,,,,,,,,,Aprende,,,,,,,,,,,,,True,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Exhibición de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,Comercio,,,,,,,,,Beginner,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,USD,,,,https://aprende.org/cursos/view/153,,,,,,,,,,,,https://fsvc.capacitateparaelempleo.org/CapacitateFS/coursesImages/7503a34b-6af4-4ac1-9424-50b25bee267e.png,,¡Bienvenido!,0.0,,,,,,,,,,,,Aprende,,,,,,,,,,,,,True,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Crea la identidad de tu negocio,,,,,,,,,,,,,,,,,,,,,,,,,,,Comercio,,,,,,,,,Intermediate,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,USD,,,,https://aprende.org/cursos/view/100092,,,,,,,,,,,,https://fsvc.capacitateparaelempleo.org/CapacitateFS/coursesImages/65df6b97-a1b2-40b4-bd3a-f220ed479cf0.png,,"¡Bienvenido! 
 En esta capacitación podrás definir la cultura empresarial, identidad, imagen y registrar la marca de tu negocio, lo que te ayudará a aumentar su plusvalía en el mercado. 
 ¡Te deseamos mucho éxito!",0.0,,,,,,,,,,,,Aprende,,,,,,,,,,,,,True,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Retail omnicanal y multicanal,,,,,,,,,,,,,,,,,,,,,,,,,,,Comercio,,,,,,,,,Beginner,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,USD,,,,https://aprende.org/cursos/view/100101,,,,,,,,,,,,https://fsvc.capacitateparaelempleo.org/CapacitateFS/coursesImages/45613026-e156-4404-86b7-dcbeb247586d.png,,"¡Bienvenido! 
 Conoce estrategias de comunicación para negocios.",0.0,,,,,,,,,,,,Aprende,,,,,,,,,,,,,True,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Estrategia de precios,,,,,,,,,,,,,,,,,,,,,,,,,,,Comercio,,,,,,,,,Intermediate,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,USD,,,,https://aprende.org/cursos/view/100105,,,,,,,,,,,,https://fsvc.capacitateparaelempleo.org/CapacitateFS/coursesImages/97631114-d14f-4727-88d8-145ad0e2fdee.png,,"¡Bienvenido! 
 Fijar el precio de un producto para su venta en el mercado puede ser una tarea difícil; sin embargo, existen estrategias que lo hacen más fácil que permiten enfocarse en las utilidades sin descuidar otros aspectos que también aportan en la consolidación y crecimiento de la empresa.",0.0,,,,,,,,,,,,Aprende,,,,,,,,,,,,,True,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Crea la propuesta de valor para tu negocio,,,,,,,,,,,,,,,,,,,,,,,,,,,Comercio,,,,,,,,,Beginner,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,USD,,,,https://aprende.org/cursos/view/100149,,,,,,,,,,,,https://fsvc.capacitateparaelempleo.org/CapacitateFS/coursesImages/c7761788-7824-45b2-81d8-b2ab4f4989d3.png,,Bienvenido.  En este curso aprenderás a crear la propuesta de valor de tu negocio para hacerlo diferente y único a la vista de los clientes.,0.0,,,,,,,,,,,,Aprende,,,,,,,,,,,,,True,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Repartidor a domicilio,,,,,,,,,,,,,,,,,,,,,,,,,,,Comercio,,,,,,,,,Intermediate,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,USD,,,,https://aprende.org/cursos/view/100310,,,,,,,,,,,,https://fsvc.capacitateparaelempleo.org/CapacitateFS/coursesImages/b5a98d95-7042-4b16-8077-47f30b80690e.png,,"¡Bienvenido! 
 Con este curso, identificarás el proceso de trabajo, equipo y medidas de seguridad que debes seguir como repartidor a domicilio, desde la preparación de la jornada hasta la recepción, traslado y entrega de bienes. 
 ¡Te deseamos mucho éxito!",0.0,,,,,,,,,,,,Aprende,,,,,,,,,,,,,True,,,,,,,,,
